hid|name|since|location|description|response_time|response_rate|acceptance|is_super_host|neighbourhood|email_verified|phone_verified|work_email_verified|identity_verified
4663219|Fawad|2013-01-11|Siālkot, Punjab, Pakistan|I am tourist, would love to visit different countries.|within an hour|1.0|0.0|0||1|1|0|0
100840975|Supika|2016-10-23|TH|||0.0|0.0|0||0|1|0|0
303573998|Noodee|2019-10-21|TH||a few days or more|0.0|0.0|0||1|1|0|1
256747704|Krit|2019-04-19|Bangkok, Thailand|||0.0|1.0|0||1|1|0|1
167136634|เบนซ์|2018-01-11|Lak Si, Bangkok, Thailand|ผมเปํ็นคนมีอัธยาศัยดี ไม่สูบบุหรี่ ไม่ดื่มเหล้า||0.0|0.0|0||1|1|0|0
35520796|Nathanicha|2015-06-10|Nonthaburi, Thailand||within a day|0.75|0.0|0||1|1|0|0
120437|Nuttee|2010-05-08|Bangkok|Hi All, I am nuttee patranavik from Bangkok, Thailand.always travel but easy to connect via airbnb..||0.0|1.0|0|Victory Monument|1|1|0|1
120541|Emy|2010-05-08|Bangkok, Thailand|||0.0|0.0|0||1|1|0|0
123784|Familyroom|2010-05-12|Bangkok Thailand|Welcome to Familyroom Apartment.A Chic and stylish apartment situated close to the heart of the city. ||0.0|0.0|0|Bang Kapi|1|1|0|0
153730|Sirilak|2010-06-27|Bangkok, Bangkok, Thailand|from Bangkok but I'm in and out of the city a lot. Looking forward to host guests from around the world :)||0.0|1.0|0||1|1|1|1
248345247|Tanapachcharapon|2019-03-12|TH|||0.0|0.0|0||1|1|0|0
153749|Waraporn|2010-06-27|Bangkok,Thailand|||0.0|0.0|0||1|1|0|0
432181188|Roberto|2021-11-16|TH|.|within an hour|1.0|1.0|0||1|1|0|1
83229287|Natthanan|2016-07-12|Bangkok, Thailand|||0.0|0.0|0||0|1|0|0
4913308|Attakorn|2013-01-30|Bangkok, Thailand||within a day|1.0|1.0|0||1|1|1|0
222005|Athitaya|2010-09-03|Bangkok, Thailand|Full-time legal consultant from Bangkok, Thailand. ||0.0|0.0|0||1|1|0|1
4836941|GrongGaew|2013-01-24|Bangkok, Thailand|Hi I'm Gaew from Bangkok, Thailand I would like to offer my Condo for short term stay at very valuable rate.New apartment near Suwannaphum Airport. I like the concept of airbnb that allow a direct and easy connection between two parties who love travelling. I myself have experienced being both a host and a guest. I always ensure that my guests get a complete information about my place and very happy to welcome them with the best hospitality i can provide.|within an hour|1.0|0.4|0|Suan Luang|1|1|0|0
25536754|Joom|2015-01-03|Bangkok, Thailand|||0.0|0.0|0||1|1|1|0
